number,short_description,kb_category,meta
KB0014719,Unable to login to Library Website,Other Tech Support,"library, library_website, login, invalid_login, libraries, tamu_libraries"
KB0014787,Unable to access SPSS on VOAL,Windows Applications,"KCS, SPSS for OAL, SPSS_OAL, OAL Software, OAL, SPSS, "
KB0015013,Organization email request,"Email, Calendar, and Collaboration","organization, email_creation, pro_accounts, setup_email, set_up_email, organization_email, pro_emails"
KB0014865,Unable to connect to dorm internet,Resnet,"KCS, dorm_wifi, dorm_internet, connect to wifi in dorm, tamulink in dorm, resent"
KB0014998,Computer won't wake up from sleep,Windows Applications,"intel_graphics,sleep,wake_up,computer,wake_up_from_sleep,drivers"
KB0014773,Accessing files on OAL from Departmental Computer,Other Tech Support,"KCS, oal, files on departmental, get files on OAL, departmental to OAL, oal computers, "
KB0014794,Email for Shared Drive,"Email, Calendar, and Collaboration","KCS, shared drive, email, google shared drive, google drive, google apps, shared, "
KB0014777,Can't take Quiz on eCampus,Other Tech Support,"KCS, ecampus_quiz, ecampus, quiz, unable to take quiz, quiz not working, quiz_ecampus, "
KB0014609,Folder with question mark on boot on Mac,macOSX,"KCS, folder_with_question_mark, macbook boot issues, mac won't boot, mac won't turn on, mac folder with question mark, mac, osx won't boot, osx issues"
KB0020511,Unsubscribe Footer on Google Groups Emails,,KCS
KB0015051,Deactivated from Resnet,Resnet,"KCS, malware, resnet deactivation, malware_removal, "
KB0018698,Duo Reactivation Failure,,"KCS,duo, reactivate, duo reactivate, duo QR"
KB0015848,Howdy - Uploading Syllabus,Howdy,"howdy, how to upload syllabus, adding syllabus in howdy, professor, ta, teaching assistant, faculty tab, teaching tab, "
KB0020510,Unable to submit major essays on Howdy ,,KCS
KB0020508,Unable to select file to upload to canvas,,KCS
KB0019442,Cisco Self-Care Portal,Audio/Visual Applications,"KCS, Cisco, Cisco_URL, Cisco_Self_Care, Cisco_SelfCare, Cisco_Self-Care, Cisco_website"
KB0018850,Printer Settings for Scan to Email Setup,Printing,"KCS, printer, settings, scan, email, setup, scan to email,  relay, server, mail, "
KB0019411,Unable to sign into Mac OAL computers in SCC,,KCS
KB0019403,Editing Course Credits,Howdy,"KCS, howdy, howdy_course, howdy_research, howdy_credit"
KB0015991,Counter - Reformatting a Drive,Counter,"KCS, reformat drive, formatting driver, full disk, insufficient space error, back up to external drive, external drive, back up error, unable to back up data"
KB0019356,HP Laserjet 1320 Drivers,,KCS
KB0019333,Printer Not Connecting to Computer,Printing,"KCS, printer, connecting_printer, network_printer"
KB0016345,Server - TAMU Library Database,"Data, Servers, and Storage","KCS, library database, library data access, tamu library online, library access, online database, tamu database"
KB0017201,AutoDesk Applications - Issues Installing,Software,"KCS, autodesk, revit, revit 2019, autocad, autocad 2017, auto desk, autodesk applications, installation, autodesk installation, install, unable to install autodesk, unable to install revit, unable to install autocad"
KB0015684,ANOVA For Excel 2016 for Mac,macOS Applications,"anova, excel, mac, solver, data analysis, add ins, microsoft excel, excel 2016"
